sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.0002,2.0000000000000003e-06,4.5,1.2244897959183674e-05,0.9660726360765992,339273.63923400786
10000000.0,0.0002,2.0000000000000003e-06,4.5,1.63265306122449e-05,0.9659562484099687,340437.5159003126
10000000.0,0.0002,2.0000000000000003e-06,4.5,2.0408163265306126e-05,0.9664958016981291,335041.983018709
10000000.0,0.0002,2.0000000000000003e-06,4.5,2.448979591836735e-05,0.9673183366477845,326816.63352215453
10000000.0,0.0002,2.0000000000000003e-06,4.5,2.8571428571428574e-05,0.9682674298239569,317325.7017604314
10000000.0,0.0002,2.0000000000000003e-06,4.5,3.26530612244898e-05,0.9692675939173923,307324.0608260774
10000000.0,0.0002,2.0000000000000003e-06,4.5,3.673469387755102e-05,0.9702790986878981,297209.01312101923
10000000.0,0.0002,2.0000000000000003e-06,4.5,4.081632653061225e-05,0.9712799164476986,287200.8355230138
10000000.0,0.0002,2.0000000000000003e-06,4.5,4.4897959183673474e-05,0.9722575296362043,277424.70363795734
10000000.0,0.0002,2.0000000000000003e-06,4.5,4.89795918367347e-05,0.9732048464485394,267951.5355146056
10000000.0,0.0002,2.0000000000000003e-06,4.5,5.3061224489795926e-05,0.974118011520549,258819.88479451003
10000000.0,0.0002,2.0000000000000003e-06,4.5,5.714285714285715e-05,0.9749951633225359,250048.36677464115
10000000.0,0.0002,2.0000000000000003e-06,4.5,6.122448979591838e-05,0.9758356957672087,241643.04232791255
10000000.0,0.0002,2.0000000000000003e-06,4.5,6.53061224489796e-05,0.9766398028424794,233601.9715752058
10000000.0,0.0002,2.0000000000000003e-06,4.5,6.938775510204082e-05,0.9774081892185238,225918.10781476207
10000000.0,0.0002,2.0000000000000003e-06,4.5,7.346938775510205e-05,0.9781418818437541,218581.18156245942
10000000.0,0.0002,2.0000000000000003e-06,4.5,7.755102040816328e-05,0.978842104943516,211578.95056484023
10000000.0,0.0002,2.0000000000000003e-06,4.5,8.16326530612245e-05,0.97951019590176,204898.04098239972
10000000.0,0.0002,2.0000000000000003e-06,4.5,8.571428571428573e-05,0.9801475481126293,198524.51887370725
